FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140611;0000;;;7,41303;
140612;0000;;;18,4739;
140613;0000;;;30,3593;
140614;0000;;;44,1523;
140615;0000;;;54,1341;
140616;0000;;;32,7438;
140617;0000;;;72,0392;
140618;0000;;;19,928;
140619;0000;;;13,6376;
140620;0000;;;31,1734;
140621;0000;;;18,06;
140622;0000;;;22,657;
140623;0000;;;40,6911;
140624;0000;;;60,162;
140625;0000;;;22,2319;
140626;0000;;;21,3766;
140627;0000;;;39,3385;
140628;0000;;;25,9765;
140629;0000;;;19,264;
140630;0000;;;19,2709;
140701;0000;;;35,1559;
140702;0000;;;7,77478;
140703;0000;;;21,4491;
140704;0000;;;20,0279;
140705;0000;;;9,80182;
140706;0000;;;10,928;
140707;0000;;;40,0984;
140708;0000;;;44,2816;
140709;0000;;;35,3224;
140710;0000;;;17,6282;
140711;0000;;;18,2177;
140712;0000;;;23,2727;
140713;0000;;;19,5809;
140714;0000;;;6,41904;
140715;0000;;;40,3398;
140716;0000;;;26,3969;
140717;0000;;;17,9636;
140718;0000;;;29,6761;
140719;0000;;;15,3578;
140720;0000;;;13,1863;
140721;0000;;;16,5737;
140722;0000;;;14,0567;
140723;0000;;;10,2739;
140724;0000;;;16;
140725;0000;;;17,739;
140726;0000;;;34,7346;
140727;0000;;;23,1935;
140728;0000;;;18,4814;
140729;0000;;;33,149;
140730;0000;;;20,1463;
140731;0000;;;64,3141;
140801;0000;;;43,9056;
140802;0000;;;34,7785;
140803;0000;;;12,8785;
140804;0000;;;32,3058;
140805;0000;;;34,5641;
140806;0000;;;11,5835;
140807;0000;;;15,6097;
140808;0000;;;37,1321;
140809;0000;;;13,3659;
140810;0000;;;5,95232;
140811;0000;;;5,59095;
140812;0000;;;24,5027;
140813;0000;;;37,3562;
140814;0000;;;8,89545;
140815;0000;;;8,33778;
140816;0000;;;98,1637;
140817;0000;;;36,996;
140818;0000;;;24,7649;
140819;0000;;;23,0168;
140820;0000;;;6,59682;
140821;0000;;;12,6929;
140822;0000;;;21,9953;
140823;0000;;;7,94887;
140824;0000;;;;
140825;0000;;;;
140826;0000;;;34,7936;
140827;0000;;;23,6756;
140828;0000;;;43,9823;
140829;0000;;;29,1039;
140830;0000;;;11,2556;
140831;0000;;;12,6283;
140901;0000;;;3,09237;
140902;0000;;;30,8631;
140903;0000;;;21,4554;
140904;0000;;;21,196;
140905;0000;;;13,0303;
140906;0000;;;20,0948;
140907;0000;;;25,0376;
140908;0000;;;16,8856;
140909;0000;;;33,7154;
140910;0000;;;19,8368;
140911;0000;;;31,6233;
140912;0000;;;23,238;
140913;0000;;;13,7976;
140914;0000;;;12,1955;
140915;0000;;;43,2228;
140916;0000;;;20,5746;
140917;0000;;;12,0116;
140918;0000;;;24,6174;
140919;0000;;;11,7714;
140920;0000;;;38,5309;
140921;0000;;;10,3092;
140922;0000;;;8,76416;
140923;0000;;;57,4012;
140924;0000;;;48,0496;
140925;0000;;;22,9216;
140926;0000;;;25,96;
140927;0000;;;21,4131;
140928;0000;;;23,1722;
140929;0000;;;8,86703;
140930;0000;;;43,7988;
141001;0000;;;8,43378;
141002;0000;;;6,33154;
141003;0000;;;10,1972;
141004;0000;;;9,7054;
141005;0000;;;6,86787;
141006;0000;;;13,9566;
141007;0000;;;26,119;
141008;0000;;;4,37558;
141009;0000;;;6,3766;
141010;0000;;;29,0614;
141011;0000;;;21,7804;
141012;0000;;;35,0057;
141013;0000;;;15,9417;
141014;0000;;;38,4808;
141015;0000;;;10,731;
141016;0000;;;16,6484;
141017;0000;;;19,3732;
141018;0000;;;15,3589;
141019;0000;;;21,7403;
141020;0000;;;15,5349;
141021;0000;;;19,4687;
141022;0000;;;5,82937;
141023;0000;;;30,1891;
141024;0000;;;8,87941;
141025;0000;;;3,40729;
141026;0000;;;4,04262;
141027;0000;;;9,5659;
141028;0000;;;55,566;
141029;0000;;;6,1462;
141030;0000;;;5,02441;
141031;0000;;;8,51324;
141101;0000;;;12,5394;
141102;0000;;;3,13025;
141103;0000;;;5,55936;
141104;0000;;;22,1263;
141105;0000;;;8,0694;
141106;0000;;;5,94762;
141107;0000;;;10,5277;
141108;0000;;;7,91957;
141109;0000;;;5,62395;
141110;0000;;;6,06566;
141111;0000;;;23,7269;
141112;0000;;;38,2812;
141113;0000;;;41,72;
141114;0000;;;33,0229;
141115;0000;;;30,0362;
141116;0000;;;38,3662;
141117;0000;;;33,9912;
141118;0000;;;35,3611;
141119;0000;;;3,16762;
141120;0000;;;5,09999;
141121;0000;;;8,43607;
141122;0000;;;12,1797;
141123;0000;;;4,24462;
141124;0000;;;3,66191;
141125;0000;;;16,4626;
141126;0000;;;9,33916;
141127;0000;;;8,36424;
141128;0000;;;9,36703;
141129;0000;;;16,0845;
141130;0000;;;4,74879;
141201;0000;;;19,3903;
141202;0000;;;27,3465;
141203;0000;;;33,7698;
141204;0000;;;3,2042;
141205;0000;;;2,73346;
141206;0000;;;3,44091;
141207;0000;;;15,6105;
141208;0000;;;2,7132;
141209;0000;;;17,5405;
141210;0000;;;3,19424;
141211;0000;;;8,48024;
141212;0000;;;6,59191;
141213;0000;;;6,38391;
141214;0000;;;2,56666;
141215;0000;;;4,0872;
141216;0000;;;23,2914;
141217;0000;;;16,2025;
141218;0000;;;5,80545;
141219;0000;;;3,62262;
141220;0000;;;18,5061;
141221;0000;;;4,52941;
141222;0000;;;10,1129;
141223;0000;;;49,8552;
141224;0000;;;27,3658;
141225;0000;;;25,9208;
141226;0000;;;32,5641;
141227;0000;;;30,7879;
141228;0000;;;28,5575;
141229;0000;;;50,5001;
141230;0000;;;23,2885;
141231;0000;;;10,2335;
150101;0000;;;7,94345;
150102;0000;;;9,23036;
150103;0000;;;9,3576;
150104;0000;;;11,5508;
150105;0000;;;12,1625;
150106;0000;;;24,9795;
150107;0000;;;6,09399;
150108;0000;;;8,61163;
150109;0000;;;12,4335;
150110;0000;;;8,4207;
150111;0000;;;5,85925;
150112;0000;;;13,2364;
150113;0000;;;42,2535;
150114;0000;;;6,80745;
150115;0000;;;5,23537;
150116;0000;;;29,4773;
150117;0000;;;39,2133;
150118;0000;;;42,8616;
150119;0000;;;60,9279;
150120;0000;;;36,0289;
150121;0000;;;29,8095;
150122;0000;;;29,6408;
150123;0000;;;36,1146;
150124;0000;;;;
150125;0000;;;59,837;
150126;0000;;;49,3199;
150127;0000;;;60,9012;
150128;0000;;;42,4749;
150129;0000;;;36,405;
150130;0000;;;40,4827;
150131;0000;;;48,9178;
150201;0000;;;47,6995;
150202;0000;;;42,2066;
150203;0000;;;50,742;
150204;0000;;;31,2808;
150205;0000;;;35,2741;
150206;0000;;;30,8316;
150207;0000;;;32,2245;
150208;0000;;;30,2929;
150209;0000;;;38,1096;
150210;0000;;;48,8499;
150211;0000;;;40,4758;
150212;0000;;;44,2679;
150213;0000;;;39,3375;
150214;0000;;;40,0037;
150215;0000;;;44,0941;
150216;0000;;;40,6762;
150217;0000;;;52,9174;
150218;0000;;;35,447;
150219;0000;;;41,0845;
150220;0000;;;45,4808;
150221;0000;;;45,4612;
150222;0000;;;40,8553;
150223;0000;;;38,4479;
150224;0000;;;45,822;
150225;0000;;;43,1358;
150226;0000;;;39,2633;
150227;0000;;;53,0637;
150228;0000;;;44,9662;
150301;0000;;;41,3654;
150302;0000;;;56,1674;
150303;0000;;;59,8074;
150304;0000;;;50,4958;
150305;0000;;;53,405;
150306;0000;;;46,372;
150307;0000;;;50,1699;
150308;0000;;;106,292;
150309;0000;;;67,0323;
150310;0000;;;58,6095;
150311;0000;;;37,3991;
150312;0000;;;36,5879;
150313;0000;;;43,1375;
150314;0000;;;49,2812;
150315;0000;;;44,4587;
150316;0000;;;38,577;
150317;0000;;;62,157;
150318;0000;;;37,5833;
150319;0000;;;40,0137;
150320;0000;;;49,752;
150321;0000;;;42,2741;
150322;0000;;;49,5937;
150323;0000;;;58,2349;
150324;0000;;;62,3428;
150325;0000;;;57,1599;
150326;0000;;;40,9279;
150327;0000;;;98,0444;
150328;0000;;;41,4529;
150329;0000;;;98,7242;
150330;0000;;;102,449;
150331;0000;;;55,3445;
150401;0000;;;41,5008;
150402;0000;;;54,5599;
150403;0000;;;41,1237;
150404;0000;;;43,6379;
150405;0000;;;45,4603;
150406;0000;;;41,0549;
150407;0000;;;47,8649;
150408;0000;;;44,6314;
150409;0000;;;51,0228;
150410;0000;;;51,1887;
150411;0000;;;37,3904;
