FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140102;0000;;;13,3619;
140103;0000;;;15,3125;
140104;0000;;;13,4683;
140105;0000;;;13,6504;
140106;0000;;;10,0217;
140107;0000;;;53,0718;
140108;0000;;;1,17587;
140109;0000;;;2,42233;
140110;0000;;;0,796499;
140111;0000;;;1,63233;
140112;0000;;;0,581916;
140113;0000;;;0,72504;
140114;0000;;;8,32829;
140115;0000;;;2,31962;
140116;0000;;;8,70361;
140117;0000;;;8,7794;
140118;0000;;;14,1464;
140119;0000;;;5,74783;
140120;0000;;;8,59291;
140121;0000;;;31,2276;
140122;0000;;;6,61558;
140123;0000;;;6,78391;
140124;0000;;;4,82986;
140125;0000;;;4,65204;
140126;0000;;;0,693999;
140127;0000;;;1,69725;
140128;0000;;;23,0732;
140129;0000;;;1,61829;
140130;0000;;;0,919999;
140131;0000;;;3,42867;
140201;0000;;;0,771999;
140202;0000;;;3,40125;
140203;0000;;;5,02145;
140204;0000;;;18,5639;
140205;0000;;;14,8576;
140206;0000;;;5,34091;
140207;0000;;;5,99449;
140208;0000;;;11,9286;
140209;0000;;;1,49042;
140210;0000;;;0,590624;
140211;0000;;;9,67162;
140212;0000;;;1,54125;
140213;0000;;;1,13862;
140214;0000;;;1,74946;
140215;0000;;;7,46295;
140216;0000;;;6,74953;
140217;0000;;;0,497291;
140218;0000;;;10,7263;
140219;0000;;;5,67825;
140220;0000;;;3,20808;
140221;0000;;;2,15966;
140222;0000;;;3,96624;
140223;0000;;;1,11925;
140224;0000;;;2,44304;
140225;0000;;;10,0146;
140226;0000;;;4,89245;
140227;0000;;;1,99108;
140228;0000;;;1,89841;
140301;0000;;;2,48521;
140302;0000;;;3,50404;
140303;0000;;;1,17762;
140304;0000;;;14,3952;
140305;0000;;;3,71329;
140306;0000;;;5,46629;
140307;0000;;;4,08212;
140308;0000;;;4,01028;
140309;0000;;;7,0983;
140310;0000;;;5,68307;
140311;0000;;;5,04849;
140312;0000;;;0;
140313;0000;;;0,179958;
140314;0000;;;;
140315;0000;;;;
140316;0000;;;5,10454;
140317;0000;;;5,52062;
140318;0000;;;30,5928;
140319;0000;;;2,34062;
140320;0000;;;7,34487;
140321;0000;;;21,2009;
140322;0000;;;5,50362;
140323;0000;;;0,816291;
140324;0000;;;1,21312;
140325;0000;;;12,3097;
140326;0000;;;0,795916;
140327;0000;;;2,04304;
140328;0000;;;3,61971;
140329;0000;;;2,08495;
140330;0000;;;0,896583;
140331;0000;;;4,47199;
140401;0000;;;15,8051;
140402;0000;;;1,59862;
140403;0000;;;3,90908;
140404;0000;;;3,75675;
140405;0000;;;1,84571;
140406;0000;;;0,832416;
140407;0000;;;4,97758;
140408;0000;;;18,3374;
140409;0000;;;9,23941;
140410;0000;;;1,24387;
140411;0000;;;5,80894;
140412;0000;;;3,01004;
140413;0000;;;8,25237;
140414;0000;;;7,01382;
140415;0000;;;19,9335;
140416;0000;;;0,757124;
140417;0000;;;10,8698;
140418;0000;;;11,0282;
140419;0000;;;;
140420;0000;;;;
140421;0000;;;;
140422;0000;;;;
140423;0000;;;4,4897;
140424;0000;;;1,65658;
140425;0000;;;6,9702;
140426;0000;;;3,36933;
140427;0000;;;;
140428;0000;;;12,7402;
140429;0000;;;23,7711;
140430;0000;;;6,6937;
140501;0000;;;12,9248;
140502;0000;;;18,2793;
140503;0000;;;8,11632;
140504;0000;;;17,9801;
140505;0000;;;25,3786;
140506;0000;;;22,5648;
140507;0000;;;20,3636;
140508;0000;;;10,9227;
140509;0000;;;1,75929;
140510;0000;;;2,67037;
140511;0000;;;1,37382;
140512;0000;;;6,26482;
140513;0000;;;20,6436;
140514;0000;;;7,18124;
140515;0000;;;8,35236;
140516;0000;;;13,2018;
140517;0000;;;32,1207;
140518;0000;;;19,8186;
140519;0000;;;18,3589;
140520;0000;;;17,1965;
140521;0000;;;2,02191;
140522;0000;;;10,5123;
140523;0000;;;24,2885;
140524;0000;;;8,70566;
140525;0000;;;4,20882;
140526;0000;;;19,0851;
140527;0000;;;44,6801;
140528;0000;;;0,891458;
140529;0000;;;2,66058;
140530;0000;;;11,2288;
140531;0000;;;9,32765;
140601;0000;;;11,1012;
140602;0000;;;27,6544;
140603;0000;;;12,6798;
140604;0000;;;5,9422;
140605;0000;;;4,3967;
140606;0000;;;4,28699;
140607;0000;;;2,87666;
140608;0000;;;2,06491;
140609;0000;;;6,67332;
140610;0000;;;9,58278;
140611;0000;;;1,41808;
140612;0000;;;4,14204;
140613;0000;;;10,0058;
140614;0000;;;15,3662;
140615;0000;;;21,3325;
140616;0000;;;11,1646;
140617;0000;;;29,7318;
140618;0000;;;5,10075;
140619;0000;;;2,88287;
140620;0000;;;9,56761;
140621;0000;;;4,79324;
140622;0000;;;6,61133;
140623;0000;;;15,9262;
140624;0000;;;24,0245;
140625;0000;;;6,5177;
140626;0000;;;6,68404;
140627;0000;;;14,3686;
140628;0000;;;7,38203;
140629;0000;;;5,28008;
140630;0000;;;3,6907;
140701;0000;;;11,862;
140702;0000;;;1,07467;
140703;0000;;;6,52245;
140704;0000;;;5,39387;
140705;0000;;;2,44595;
140706;0000;;;2,17983;
140707;0000;;;13,8105;
140708;0000;;;16,5363;
140709;0000;;;10,5694;
140710;0000;;;3,70646;
140711;0000;;;4,93237;
140712;0000;;;6,03461;
140713;0000;;;4,91441;
140714;0000;;;0,882749;
140715;0000;;;15,5932;
140716;0000;;;9,41061;
140717;0000;;;5,76575;
140718;0000;;;10,0847;
140719;0000;;;3,5675;
140720;0000;;;2,59704;
140721;0000;;;5,01912;
140722;0000;;;5,25541;
140723;0000;;;1,65354;
140724;0000;;;4,43329;
140725;0000;;;4,81866;
140726;0000;;;11,3052;
140727;0000;;;6,60571;
140728;0000;;;4,9912;
140729;0000;;;12,0321;
140730;0000;;;5,4177;
140731;0000;;;26,4435;
140801;0000;;;17,0433;
140802;0000;;;12,4223;
140803;0000;;;4,00229;
140804;0000;;;11,4344;
140805;0000;;;12,408;
140806;0000;;;2,90529;
140807;0000;;;5,35099;
140808;0000;;;14,072;
140809;0000;;;4,05208;
140810;0000;;;1,53879;
140811;0000;;;1,72637;
140812;0000;;;9,19661;
140813;0000;;;13,2671;
140814;0000;;;2,83479;
140815;0000;;;3,33716;
140816;0000;;;40,9359;
140817;0000;;;15,9826;
140818;0000;;;8,95744;
140819;0000;;;8,51003;
140820;0000;;;2,82116;
140821;0000;;;5,28412;
140822;0000;;;8,88228;
140823;0000;;;1,70529;
140824;0000;;;;
140825;0000;;;;
140826;0000;;;12,6596;
140827;0000;;;7,22304;
140828;0000;;;17,6825;
140829;0000;;;9,67236;
140830;0000;;;3,03545;
140831;0000;;;3,75475;
140901;0000;;;1,43425;
140902;0000;;;15,6898;
140903;0000;;;8,34773;
140904;0000;;;7,16936;
140905;0000;;;3,90729;
140906;0000;;;7,69841;
140907;0000;;;9,19781;
140908;0000;;;5,25099;
140909;0000;;;13,8037;
140910;0000;;;6,96478;
140911;0000;;;10,9451;
140912;0000;;;7,62674;
140913;0000;;;3,6857;
140914;0000;;;5,38191;
140915;0000;;;21,7211;
140916;0000;;;9,16394;
140917;0000;;;2,47804;
140918;0000;;;8,11894;
140919;0000;;;2,04604;
140920;0000;;;12,6006;
140921;0000;;;1,92279;
140922;0000;;;1,56562;
140923;0000;;;24,4958;
140924;0000;;;20,4;
140925;0000;;;11,6915;
140926;0000;;;14,0564;
140927;0000;;;12,0685;
140928;0000;;;11,7292;
